title,price,rating,availability,source_url,listing_page,upc,category,price_excl_tax,price_incl_tax,tax,available_units,reviews
A Light in the Attic,51.77,3,In stock,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,1,a897fe39b1053632,Poetry,51.77,51.77,0.0,22,0
It's Only the Himalayas,45.17,2,In stock,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,1,a22124811bfa8350,Travel,45.17,45.17,0.0,19,0
Libertarianism for Beginners,51.33,2,In stock,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,1,a18a4f574854aced,Politics,51.33,51.33,0.0,19,0
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1,e30f54cea9b38190,Science Fiction,37.59,37.59,0.0,19,0
Olio,23.88,1,In stock,https://books.toscrape.com/catalogue/olio_984/index.html,1,feb7cc7701ecf901,Poetry,23.88,23.88,0.0,19,0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,1,deda3e61b9514b83,Music,57.25,57.25,0.0,19,0
Rip it Up and Start Again,35.02,5,In stock,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,1,a34ba96d4081e6a4,Music,35.02,35.02,0.0,19,0
Sapiens: A Brief History of Humankind,54.23,5,In stock,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,1,4165285e1663650f,History,54.23,54.23,0.0,20,0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,1,3b1c02bac2a429e6,Sequential Art,52.29,52.29,0.0,19,0
Set Me Free,17.46,5,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html,1,ce6396b0f23f6ecc,Young Adult,17.46,17.46,0.0,19,0
Shakespeare's Sonnets,20.66,4,In stock,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,1,30a7f60cd76ca58c,Poetry,20.66,20.66,0.0,19,0
Sharp Objects,47.82,4,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,1,e00eb4fd7b871a48,Mystery,47.82,47.82,0.0,20,0
Soumission,50.1,1,In stock,https://books.toscrape.com/catalogue/soumission_998/index.html,1,6957f44c3847a760,Fiction,50.1,50.1,0.0,20,0
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,1,0312262ecafa5a40,Default,13.99,13.99,0.0,19,0
