category,books,average_price_gbp
Default,152,34.39
Nonfiction,110,34.26
Sequential Art,75,34.57
Add a comment,67,35.8
Fiction,65,36.07
Young Adult,54,35.45
Fantasy,48,39.59
Romance,35,33.93
Mystery,32,31.72
Food and Drink,30,31.41
Childrens,29,32.64
Historical Fiction,26,33.64
Poetry,19,35.97
Classics,19,36.55
History,18,37.29
Womens Fiction,17,36.79
Horror,17,35.95
Science Fiction,16,33.8
Science,14,33.09
Music,13,35.64
Business,12,32.46
Philosophy,11,33.56
Thriller,11,31.43
Travel,11,39.79
Humor,10,33.5
Autobiography,9,37.05
Art,8,38.52
Religion,7,32.57
Psychology,7,34.22
Christian Fiction,6,34.38
Spirituality,6,35.1
New Adult,6,46.38
Sports and Games,5,41.17
Biography,5,33.66
Self Help,5,40.62
Health,4,51.45
Contemporary,3,36.2
Politics,3,53.61
Christian,3,42.5
Historical,2,22.83
Academic,1,13.12
Adult Fiction,1,15.36
Erotica,1,19.19
Cultural,1,36.58
Crime,1,10.97
Novels,1,54.81
Paranormal,1,15.4
Parenting,1,37.35
Suspense,1,58.33
Short Stories,1,35.88
